0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/img/gwangsu.jpg HTTP/1.1" 200 4430
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/img/chevron-down.png HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/img/coffee02.jpg HTTP/1.1" 200 394057
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:53 +0900] "GET /drink0208_F4/drinkMenu.do HTTP/1.1" 200 13549
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:53 +0900] "GET /drink0208_F4/assets/img/demo/starbucks.jpg HTTP/1.1" 200 9121
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:53 +0900] "GET /drink0208_F4/assets/img/backgroundpic-header.jpg HTTP/1.1" 200 179351
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:53 +0900] "GET /drink0208_F4/assets/img/demo/gong-cha.jpg HTTP/1.1" 200 21983
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:53 +0900] "GET /drink0208_F4/favicon.ico HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:56 +0900] "GET /drink0208_F4/gongcha.do HTTP/1.1" 200 18505
