127.0.0.1 - - [12/Feb/2022:15:05:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/index.jsp HTTP/1.1" 200 14497
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/fonts/icon-7-stroke/css/pe-icon-7-stroke.css HTTP/1.1" 200 8710
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/css/normalize.css HTTP/1.1" 200 15336
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/css/bootstrap-select.min.css HTTP/1.1" 200 7019
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/fonts/icon-7-stroke/css/helper.css HTTP/1.1" 200 3740
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/css/owl.carousel.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/css/style.css HTTP/1.1" 200 68482
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/js/jquery.ba-cond.min.js HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/js/bootstrap-hover-dropdown.js HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/js/icheck.min.js HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/css/responsive.css HTTP/1.1" 200 15866
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/js/main.js HTTP/1.1" 200 3934
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/css/price-range.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/css/fontello.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/css/icheck.min_all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/js/easypiechart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/js/bootstrap-select.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/css/owl.transitions.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/js/modernizr-2.6.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/js/jquery.slitslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/js/wow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/js/price-range.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/img/geoji.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/img/liger.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/img/kkangkkang2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/img/gwangsu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/img/drinklogo2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/img/slide1/coffee02.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/img/demo/cafepic4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/img/slide1/cafepic2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/img/slide1/cafepic3.png HTTP/1.1" 200 2251906
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/fonts/icon-7-stroke/fonts/Pe-icon-7-stroke.woff?-2irksn HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/img/chevron-down.png HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/img/coffee02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:15 +0900] "GET /drink0208_F4/assets/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:29 +0900] "GET /drink0208_F4/searchMenu.do?search=%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4 HTTP/1.1" 500 2030
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:49 +0900] "GET /drink0208_F4/board/list.do HTTP/1.1" 500 2030
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:05:52 +0900] "GET /drink0208_F4/drinkSuggest.do HTTP/1.1" 500 2030
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:06:05 +0900] "GET /drink0208_F4/brandContact.do HTTP/1.1" 500 2030
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:27:47 +0900] "GET /drink0208_F4/assets/js/bootstrap-select.js.map HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [12/Feb/2022:15:28:57 +0900] "GET /drink0208_F4/index.jsp HTTP/1.1" 200 14497
